s,C,1/m,m,1/m,1/m,1/m
Time,T_fire,K_fire,V_fire,K_left,K_right,K_branch
 4.5329230E+001, 2.0414667E+001, 4.9986708E-002, 3.0000000E+001, 1.6738923E-142, 4.9986708E-002, 8.1897446E-062
 4.5614356E+001, 2.0604315E+001, 7.9718877E-002, 3.0000000E+001, 3.8254247E-142, 7.9718877E-002, 7.5259837E-060
 4.5994524E+001, 2.0777613E+001, 1.0602517E-001, 2.8069426E+001, 1.0034700E-141, 1.0602517E-001, 1.2162017E-057
 4.6203617E+001, 2.1086222E+001, 1.5285094E-001, 1.9756893E+001, 2.2211084E-141, 1.5285094E-001, 3.0995148E-056
 4.6584560E+001, 2.1519443E+001, 2.2137482E-001, 1.3702726E+001, 5.1078873E-141, 2.2137482E-001, 1.3828238E-054
 4.6860956E+001, 2.1857032E+001, 2.7422293E-001, 1.0947233E+001, 1.5342685E-140, 2.7422293E-001, 3.0391749E-053
 4.7137353E+001, 2.1997442E+001, 2.9438611E-001, 1.0192614E+001, 1.8134393E-139, 2.9438611E-001, 4.1100616E-052
 4.7441389E+001, 2.2058893E+001, 3.0134958E-001, 9.9552539E+000, 1.9814970E-136, 3.0134958E-001, 6.0719794E-051
 4.7745425E+001, 2.2019674E+001, 2.9231035E-001, 1.0265411E+001, 8.3280912E-133, 2.9231035E-001, 8.1226456E-050
 4.8049461E+001, 2.1901310E+001, 2.7128683E-001, 1.1065188E+001, 3.8799012E-129, 2.7128683E-001, 9.0996336E-049
 4.8353498E+001, 2.1756106E+001, 2.4714593E-001, 1.2145994E+001, 1.5395914E-125, 2.4714593E-001, 8.4182168E-048
 4.8634426E+001, 2.1637308E+001, 2.2747351E-001, 1.3193931E+001, 3.2503639E-122, 2.2747351E-001, 5.8488117E-047
 4.8903800E+001, 2.1539953E+001, 2.1111718E-001, 1.4215551E+001, 3.8241063E-119, 2.1111718E-001, 3.3936794E-046
 4.9262965E+001, 2.1452287E+001, 1.9588922E-001, 1.5320887E+001, 1.6545662E-115, 1.9588922E-001, 2.4541019E-045
 4.9532339E+001, 2.1406509E+001, 1.8725765E-001, 1.6021468E+001, 1.2948824E-112, 1.8725765E-001, 1.3821275E-044
 4.9801713E+001, 2.1389496E+001, 1.8341829E-001, 1.6356293E+001, 8.1255627E-110, 1.8341829E-001, 6.0032792E-044
 5.0160878E+001, 2.1405198E+001, 1.8435789E-001, 1.6273756E+001, 2.6242066E-106, 1.8435789E-001, 3.3480514E-043
 5.0430252E+001, 2.1469132E+001, 1.9289854E-001, 1.5555539E+001, 1.3728039E-103, 1.9289854E-001, 1.6027149E-042
 5.0789417E+001, 2.1561996E+001, 2.0390503E-001, 1.4715618E+001, 2.4964566E-100, 2.0390503E-001, 8.5909393E-042
 5.1058791E+001, 2.1626800E+001, 2.0875294E-001, 1.4371080E+001, 1.2383860E-097, 2.0875294E-001, 4.2078273E-041
 5.1328165E+001, 2.1655147E+001, 2.0872280E-001, 1.4373138E+001, 4.5665546E-095, 2.0872280E-001, 1.8238007E-040
 5.1687331E+001, 2.1686000E+001, 2.0811655E-001, 1.4415010E+001, 7.5023386E-092, 2.0811655E-001, 1.1816072E-039
 5.1956705E+001, 2.1721086E+001, 2.0822143E-001, 1.4407777E+001, 2.5857834E-089, 2.0822143E-001, 7.0320111E-039
 5.2226079E+001, 2.1772300E+001, 2.1159340E-001, 1.4178977E+001, 5.6518552E-087, 2.1159340E-001, 3.4830102E-038
 5.2585244E+001, 2.1878890E+001, 2.2307052E-001, 1.3454824E+001, 4.2725671E-084, 2.2307052E-001, 2.2773199E-037
 5.2854618E+001, 2.2014453E+001, 2.3814767E-001, 1.2599599E+001, 8.9453448E-082, 2.3814767E-001, 1.2587914E-036
 5.3123992E+001, 2.2095691E+001, 2.4910110E-001, 1.2044789E+001, 1.3138299E-079, 2.4910110E-001, 5.7808241E-036
 5.3440579E+001, 2.2147869E+001, 2.5722055E-001, 1.1663553E+001, 3.5818930E-077, 2.5722055E-001, 3.0728041E-035
 5.3757166E+001, 2.2189266E+001, 2.6069277E-001, 1.1507894E+001, 9.4336556E-075, 2.6069277E-001, 1.8046525E-034
 5.4073753E+001, 2.2254093E+001, 2.6532843E-001, 1.1307480E+001, 2.0078902E-072, 2.6532843E-001, 1.0386490E-033
 5.4311193E+001, 2.2361149E+001, 2.7590383E-001, 1.0875235E+001, 1.3240950E-070, 2.7590383E-001, 4.4806594E-033
 5.4627780E+001, 2.2549416E+001, 2.9705175E-001, 1.0106899E+001, 1.5836082E-068, 2.9705175E-001, 2.0325227E-032
 5.4944367E+001, 2.2776727E+001, 3.2029061E-001, 9.3673913E+000, 1.9994215E-066, 3.2029061E-001, 1.0290709E-031
 5.5260954E+001, 2.2828139E+001, 3.2261554E-001, 9.2989985E+000, 1.9791213E-064, 3.2261554E-001, 5.1429083E-031
 5.5577541E+001, 2.2909925E+001, 3.3200295E-001, 9.0397085E+000, 1.5361739E-062, 3.3200295E-001, 2.5879200E-030
 5.5814981E+001, 2.3110651E+001, 3.5934962E-001, 8.3511165E+000, 4.4798164E-061, 3.5934962E-001, 9.8739306E-030
 5.6131568E+001, 2.3207205E+001, 3.7265157E-001, 8.0504804E+000, 1.8248575E-059, 3.7265157E-001, 3.9629045E-029
 5.6448155E+001, 2.3109010E+001, 3.6077584E-001, 8.3173270E+000, 7.8916557E-058, 3.6077584E-001, 1.8505893E-028
 5.6764742E+001, 2.2967071E+001, 3.4203847E-001, 8.7724660E+000, 2.8589617E-056, 3.4203847E-001, 8.6369951E-028
 5.7002183E+001, 2.2882238E+001, 3.2955988E-001, 9.1036672E+000, 4.8447518E-055, 3.2955988E-001, 3.0422159E-027
 5.7318770E+001, 2.2795863E+001, 3.1667031E-001, 9.4755980E+000, 1.0564178E-053, 3.1667031E-001, 1.0870540E-026
 5.7635357E+001, 2.2677992E+001, 2.9913034E-001, 1.0031659E+001, 2.5949029E-052, 2.9913034E-001, 4.3926474E-026
 5.7951944E+001, 2.2593983E+001, 2.8605520E-001, 1.0488108E+001, 5.7473871E-051, 2.8605520E-001, 1.7495792E-025
 5.8268531E+001, 2.2616117E+001, 2.8713437E-001, 1.0449361E+001, 1.1492417E-049, 2.8713437E-001, 6.6452901E-025
 5.8505971E+001, 2.2738281E+001, 3.0349875E-001, 9.8873180E+000, 1.2760472E-048, 3.0349875E-001, 2.0262719E-024
